Datum,Verbrannte Kalorien,Schritte,Strecke,Stockwerke,Minuten im Sitzen,Minuten mit leichter Aktivit채t,Minuten mit relativ hoher Aktivit채t,Minuten mit sehr hoher Aktivit채t,Aktivit채tskalorien
"22-08-2022","1'372","1'344","0.94","4","1'377","63","0","0","156"
"23-08-2022","2'478","14'892","10.62","45","604","375","29","44","1'548"
"24-08-2022","2'244","10'504","7.34","13","533","371","16","13","1'254"
"25-08-2022","1'946","7'141","5.02","12","605","357","0","0","926"
"26-08-2022","2'238","10'514","7.39","14","590","435","28","0","1'323"
"27-08-2022","2'089","8'481","5.89","11","575","417","0","0","1'122"
"28-08-2022","1'768","6'642","4.67","18","804","178","14","23","660"
"29-08-2022","2'024","7'315","5.14","11","673","372","0","0","1'027"
"30-08-2022","2'486","14'239","10.28","35","576","343","38","59","1'555"
"31-08-2022","2'246","12'053","8.48","12","561","423","12","3","1'334"
"01-09-2022","2'057","10'496","7.33","15","654","362","3","14","1'095"
"02-09-2022","2'127","10'204","7.16","12","527","382","16","2","1'171"
"03-09-2022","1'918","9'279","6.46","26","808","230","22","27","866"
"04-09-2022","1'997","10'373","7.28","34","582","277","31","13","986"
"05-09-2022","2'199","11'888","8.35","9","572","401","21","13","1'276"
"06-09-2022","2'397","15'082","11.18","11","573","317","33","62","1'444"
"07-09-2022","2'139","10'328","7.23","13","587","397","14","13","1'195"
"08-09-2022","2'249","11'607","8.1","19","547","453","11","0","1'345"
"09-09-2022","2'263","11'721","8.19","13","577","433","23","4","1'363"
"10-09-2022","2'012","10'239","7.24","6","649","299","8","13","993"
"11-09-2022","1'514","2'732","1.89","4","694","132","0","0","336"
"12-09-2022","2'074","10'290","7.18","12","596","409","0","0","1'130"
"13-09-2022","2'201","10'179","7.15","15","592","409","25","4","1'257"
"14-09-2022","2'233","10'325","7.25","9","564","428","18","0","1'314"
"15-09-2022","2'201","11'842","8.27","12","554","474","0","0","1'317"
"16-09-2022","2'147","11'492","8.12","12","615","395","0","11","1'207"
"17-09-2022","2'169","11'671","8.14","14","564","405","3","12","1'239"
"18-09-2022","2'052","11'770","8.27","50","647","250","36","38","1'049"
"19-09-2022","2'069","11'557","8.1","11","603","342","2","9","1'082"
"20-09-2022","2'555","19'232","13.57","16","508","408","33","45","1'673"
"21-09-2022","2'480","20'188","13.89","56","532","386","39","45","1'601"
"22-09-2022","2'107","10'932","7.65","11","570","403","17","4","1'189"
"23-09-2022","1'781","5'998","4.21","5","503","301","0","0","751"
"24-09-2022","1'795","6'663","4.68","12","584","294","0","0","762"
"25-09-2022","1'745","5'590","3.93","6","709","251","0","0","671"
"26-09-2022","2'199","11'517","8.05","15","500","401","19","6","1'263"
"27-09-2022","2'493","16'627","12.01","26","625","347","36","73","1'592"
"28-09-2022","2'307","12'338","8.67","17","529","414","33","2","1'398"
"29-09-2022","2'201","11'903","8.32","16","479","453","0","0","1'288"
"30-09-2022","2'237","12'522","8.76","14","555","427","0","0","1'309"
"01-10-2022","1'998","8'896","6.25","10","527","348","0","0","1'011"
"02-10-2022","2'242","14'982","10.53","41","606","290","53","25","1'256"
"03-10-2022","2'393","18'532","13.02","40","561","344","62","22","1'463"
"04-10-2022","2'190","15'032","10.52","25","505","348","25","6","1'223"
"05-10-2022","2'231","18'014","12.63","31","475","359","36","1","1'283"
"06-10-2022","2'134","13'651","9.59","31","604","269","65","11","1'139"
"07-10-2022","2'326","17'265","12.11","40","527","356","41","16","1'386"
"08-10-2022","1'956","10'870","7.64","15","696","239","37","15","918"
"09-10-2022","810","1'445","1.01","3","262","79","0","0","194"
