Startzeit,Endzeit,Minuten geschlafen,Minuten wach,Wie häufig aufgewacht,Zeit im Bett,Minuten REM-Schlaf,Minuten leichter Schlaf,Minuten Tiefschlaf
"30-08-2022 10:37PM","31-08-2022 5:58AM","375","66","12","441","91","214","70"
"29-08-2022 10:54PM","30-08-2022 5:58AM","357","67","8","424","104","195","58"
"28-08-2022 12:15AM","28-08-2022 7:16AM","383","38","13","421","99","197","87"
"26-08-2022 10:27PM","27-08-2022 5:55AM","387","61","14","448","71","262","54"
"25-08-2022 12:58PM","25-08-2022 2:01PM","59","4","1","63","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"24-08-2022 11:03PM","25-08-2022 5:58AM","340","75","16","415","98","212","30"
"23-08-2022 9:02PM","24-08-2022 5:29AM","403","104","14","507","79","286","38"
"22-08-2022 11:30PM","23-08-2022 5:58AM","314","74","14","388","100","163","51"
"29-09-2022 1:14PM","29-09-2022 2:28PM","69","5","1","74","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"28-09-2022 10:44PM","29-09-2022 5:59AM","385","49","17","434","95","222","68"
"27-09-2022 9:57PM","28-09-2022 5:39AM","370","92","11","462","114","227","29"
"26-09-2022 12:56PM","26-09-2022 2:12PM","71","5","1","76","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"25-09-2022 10:40PM","26-09-2022 5:58AM","345","93","13","438","102","192","51"
"24-09-2022 12:51PM","24-09-2022 2:26PM","91","3","1","94","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"23-09-2022 9:53AM","23-09-2022 10:59AM","61","5","1","66","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"22-09-2022 8:28PM","23-09-2022 5:58AM","472","98","21","570","101","323","48"
"21-09-2022 10:32PM","22-09-2022 5:58AM","374","72","20","446","69","290","15"
"20-09-2022 10:40PM","21-09-2022 5:58AM","378","60","11","438","109","245","24"
"19-09-2022 10:33PM","20-09-2022 5:59AM","386","60","19","446","143","210","33"
"18-09-2022 9:55PM","19-09-2022 5:59AM","427","57","13","484","130","239","58"
"17-09-2022 11:26PM","18-09-2022 7:15AM","404","65","18","469","83","249","72"
"16-09-2022 10:43PM","17-09-2022 6:19AM","400","56","21","456","91","245","64"
"15-09-2022 10:59PM","16-09-2022 5:59AM","368","51","14","419","111","214","43"
"14-09-2022 10:52PM","15-09-2022 5:44AM","331","81","18","412","81","227","23"
"13-09-2022 10:48PM","14-09-2022 5:58AM","390","40","13","430","89","241","60"
"12-09-2022 11:00PM","13-09-2022 5:50AM","361","49","17","410","62","249","50"
"11-09-2022 10:16PM","12-09-2022 5:31AM","399","36","17","435","129","236","34"
"10-09-2022 10:35PM","11-09-2022 8:49AM","540","74","17","614","141","344","55"
"09-09-2022 10:36PM","10-09-2022 6:27AM","424","47","20","471","96","256","72"
"08-09-2022 11:10PM","09-09-2022 5:53AM","322","81","10","403","96","197","29"
"07-09-2022 10:48PM","08-09-2022 5:58AM","374","55","11","429","96","247","31"
"06-09-2022 10:50PM","07-09-2022 5:59AM","343","86","13","429","97","236","10"
"05-09-2022 10:23PM","06-09-2022 5:58AM","384","71","17","455","142","229","13"
"04-09-2022 1:19PM","04-09-2022 2:55PM","73","22","5","95","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"03-09-2022 12:57PM","03-09-2022 2:31PM","86","8","2","94","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"02-09-2022 1:03PM","02-09-2022 2:13PM","63","6","2","69","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"01-09-2022 10:33PM","02-09-2022 5:58AM","387","57","14","444","113","237","37"
"31-08-2022 11:10PM","01-09-2022 5:58AM","349","58","22","407","84","243","22"
"08-10-2022 11:16PM","09-10-2022 6:26AM","372","58","17","430","126","193","53"
"07-10-2022 10:56PM","08-10-2022 6:29AM","376","77","13","453","96","233","47"
"06-10-2022 11:00PM","07-10-2022 6:16AM","379","57","16","436","113","235","31"
"05-10-2022 11:01PM","06-10-2022 7:13AM","397","94","12","491","129","206","62"
"04-10-2022 10:46PM","05-10-2022 8:15AM","504","65","19","569","151","295","58"
"03-10-2022 10:06PM","04-10-2022 7:22AM","495","61","17","556","123","307","65"
"02-10-2022 10:24PM","03-10-2022 5:55AM","390","61","15","451","117","226","47"
"01-10-2022 12:58PM","01-10-2022 2:59PM","115","6","1","121","Nicht verfügbar","Nicht verfügbar","Nicht verfügbar"
"30-09-2022 10:34PM","01-10-2022 5:58AM","351","93","11","444","109","209","33"